"","nGene","nUMI","orig.ident","S.Score","G2M.Score","Phase","old.ident"
"G8_P3_M45_L001",1725,11903.31,"G8",-0.147346299851814,-0.119019934978776,"G1","G8"
"G8_P5_M45_L001",3905,22714.87,"G8",-0.145763622276064,-0.158219076967163,"G1","G8"
"G9_P1_M45_L001",2235,14701.71,"G9",-0.0737485158684492,-0.135918150065554,"G1","G9"
"G9_P3_M45_L001",2753,17202.33,"G9",0.0062722493450782,-0.0875395934890991,"S","G9"
"G9_P4_M45_L001",1962,13440.35,"G9",0.0377255867344742,-0.0100184865799424,"S","G9"
"G9_P5_M45_L001",1846,12321.97,"G9",-0.127643157601233,-0.000570956074455536,"G1","G9"
"H10_P1_M45_L001",1566,10584.53,"H10",-0.131299477948076,-0.130860239645538,"G1","H10"
"H10_P4_M45_L001",1685,12220.12,"H10",-0.140952769167305,-0.117480587308556,"G1","H10"
"H10_P5_M45_L001",2091,14201.65,"H10",-0.0645713533873937,-0.103409855690279,"G1","H10"
"H11_P1_M45_L001",2242,15380.94,"H11",-0.0827304509545189,-0.0430139380601612,"G1","H11"
"H11_P3_M45_L001",3010,18878.13,"H11",-0.0981078017361212,-0.0317246745924358,"G1","H11"
"H11_P4_M45_L001",1762,12552.36,"H11",-0.0899671232163915,-0.0917909995732652,"G1","H11"
"H11_P5_M45_L001",1207,10085.84,"H11",-0.0645582517376742,-0.164530405818464,"G1","H11"
"H12_P1_M45_L001",1540,11304.85,"H12",-0.0753830937979,-0.141796355050111,"G1","H12"
"H12_P3_M45_L001",2503,15626.21,"H12",0.0133375850286937,-0.0959879221022349,"S","H12"
"H12_P4_M45_L001",1893,12665.45,"H12",-0.13570102655326,-0.109203311112844,"G1","H12"
"H12_P5_M45_L001",1740,11799.99,"H12",-0.0124197391712071,-0.0648856852662373,"G1","H12"
"H1_P1_M45_L001",1862,12113.55,"H1",-0.0459493164820418,-0.0577508540550464,"G1","H1"
"H1_P3_M45_L001",2195,13813.71,"H1",-0.0543647569207789,-0.0869591079403341,"G1","H1"
"H1_P4_M45_L001",1748,10808.07,"H1",-0.07197162693804,-0.128032972353026,"G1","H1"
"H1_P5_M45_L001",1894,12435.76,"H1",-0.0496297075629868,0.0468688691798731,"G2M","H1"
"H2_P1_M45_L001",1645,12446.1,"H2",0.0413653428896871,-0.0163546612713653,"S","H2"
"H2_P3_M45_L001",2333,14873.01,"H2",-0.019945654189298,-0.0317187401486428,"G1","H2"
"H2_P4_M45_L001",2371,15148.2,"H2",0.379730850796317,-0.109610801365918,"S","H2"
"H2_P5_M45_L001",1760,11839.47,"H2",0.100768482935011,-0.0335271420847036,"S","H2"
"H3_P1_M45_L001",4975,27280.81,"H3",0.537009810179263,0.654697410148443,"G2M","H3"
"H3_P3_M45_L001",3071,19441.77,"H3",0.917325339047988,0.163236382565061,"S","H3"
"H3_P4_M45_L001",1625,11968.64,"H3",-0.0384458294205733,-0.130134425989962,"G1","H3"
"H3_P5_M45_L001",3636,22083.41,"H3",0.75173515009757,0.608737052022954,"S","H3"
"H4_P1_M45_L001",1988,13601.89,"H4",-0.127162323946514,-0.101026440357132,"G1","H4"
"H4_P3_M45_L001",2033,13477.29,"H4",-0.11568817952378,0.0730263245936932,"G2M","H4"
"H4_P4_M45_L001",1771,12135.29,"H4",0.0571694961080972,-0.154007132146423,"S","H4"
"H4_P5_M45_L001",1390,10071.5,"H4",-0.00600587470888296,-0.11487094978623,"G1","H4"
"H5_P1_M45_L001",1898,13717.31,"H5",-0.0557220970107674,-0.0808232840145143,"G1","H5"
"H5_P3_M45_L001",2252,14690.52,"H5",0.0166032652815259,-0.097899466845609,"S","H5"
"H5_P4_M45_L001",1779,11685.63,"H5",0.0664253620646837,-0.0774287210602202,"S","H5"
"H5_P5_M45_L001",1516,11059.29,"H5",0.0530861958276008,-0.0132055595956266,"S","H5"
